Date,USD
01.01.2010,148.46
02.01.2010,148.46
03.01.2010,148.46
04.01.2010,148.46
05.01.2010,148.46
06.01.2010,148.4
07.01.2010,148.22
08.01.2010,148.22
09.01.2010,148.22
10.01.2010,148.22
11.01.2010,148.17
12.01.2010,148.15
13.01.2010,148.11
14.01.2010,148.08
15.01.2010,148.06
16.01.2010,148.04
17.01.2010,148.04
18.01.2010,148.04
19.01.2010,148
20.01.2010,147.96
21.01.2010,147.95
22.01.2010,147.91
23.01.2010,147.88
24.01.2010,147.88
25.01.2010,147.88
26.01.2010,147.94
27.01.2010,147.99
28.01.2010,148.07
29.01.2010,148.19
30.01.2010,148.21
31.01.2010,148.21
01.02.2010,148.21
02.02.2010,147.95
03.02.2010,148.01
04.02.2010,147.9
05.02.2010,147.86
06.02.2010,147.78
07.02.2010,147.78
08.02.2010,147.78
09.02.2010,147.96
10.02.2010,148.14
11.02.2010,148.21
12.02.2010,148.01
13.02.2010,147.88
14.02.2010,147.88
15.02.2010,147.88
16.02.2010,148.08
17.02.2010,148.16
18.02.2010,147.83
19.02.2010,147.76
20.02.2010,147.77
21.02.2010,147.77
22.02.2010,147.77
23.02.2010,147.67
24.02.2010,147.52
25.02.2010,147.34
26.02.2010,147.33
27.02.2010,147.32
28.02.2010,147.32
01.03.2010,147.32
02.03.2010,147.23
03.03.2010,147.36
04.03.2010,147.45
05.03.2010,147.28
06.03.2010,147.2
07.03.2010,147.2
08.03.2010,147.2
09.03.2010,147.2
10.03.2010,147.19
11.03.2010,147.29
12.03.2010,147.16
13.03.2010,147.13
14.03.2010,147.13
15.03.2010,147.13
16.03.2010,147.09
17.03.2010,147.05
18.03.2010,147.03
19.03.2010,147.05
20.03.2010,146.95
21.03.2010,146.95
22.03.2010,146.95
23.03.2010,146.95
24.03.2010,146.95
25.03.2010,146.95
26.03.2010,146.89
27.03.2010,146.92
28.03.2010,146.92
29.03.2010,146.92
30.03.2010,146.96
31.03.2010,147.11
01.04.2010,146.98
02.04.2010,147.07
03.04.2010,147
04.04.2010,147
05.04.2010,147
06.04.2010,146.91
07.04.2010,146.89
08.04.2010,146.9
09.04.2010,146.85
10.04.2010,146.79
